#      Train        Test
     1.05101      14.0827 
     1.02216      13.5147 
    0.950891      14.3508 
    0.911241      13.8441 
    0.880235      13.9182 
    0.969073      13.4737 
    0.870542      13.9841 
    0.936622      13.9008 
    0.983952      14.8776 
    0.856072      14.5387 
     1.04657      14.8559 
     1.00724      13.4803 
    0.921441      13.3251 
    0.926501      15.1801 
    0.968039      14.4854 
    0.939833      15.1638 
    0.821123      15.0738 
      1.0577      15.3476 
     1.03063      15.0158 
     0.83547      16.1927 
    0.968233      15.2191 
     1.12185      14.9765 
    0.932383      14.6287 
      1.0189      15.1548 
    0.822301      15.1228 
     0.99188      15.0926 
    0.935887      15.4634 
    0.917841      16.1746 
    0.931916      15.8148 
     1.01269      16.3757 
    0.983937      16.2303 
     1.05688      18.1464 
    0.984557      17.3058 
    0.844839       16.176 
    0.969429      16.8363 
    0.962815      17.0268 
    0.976667      17.4375 
    0.886376      18.8872 
     1.07719      16.9593 
    0.951592      16.6869 
    0.984188      16.8089 
     1.03117      17.7963 
    0.989669      18.3949 
    0.965309      18.1218 
    0.954896      18.8191 
      0.9585      17.7373 
    0.957502      17.7775 
    0.837739      17.7974 
     1.04695      18.5236 
    0.878417      18.5505 
    0.900976      17.2431 
    0.915535      18.6563 
     1.02853      19.3025 
    0.895997      18.2127 
     0.91073      17.3306 
     0.95595      19.3844 
    0.932273      20.4096 
    0.876639      19.0565 
    0.992631      18.1041 
    0.845062      21.0996 
    0.987499      20.2763 
    0.923872      19.6605 
    0.899653      19.4241 
     0.91669       18.014 
    0.861749      20.8849 
    0.977781      19.9554 
    0.883367      20.4844 
    0.922168      20.8981 
    0.822905      19.4823 
    0.947646      21.9738 
    0.920017      20.7828 
    0.941416      20.2356 
    0.936363      22.0925 
    0.948876      20.1608 
    0.839339       18.499 
    0.911882      21.4076 
      1.0138      21.4117 
     1.04552      21.4608 
    0.905873      22.0384 
    0.870164       22.748 
    0.887464      22.3245 
     0.83833       22.436 
    0.964533      23.4546 
    0.955285      22.8243 
    0.895419       22.915 
    0.971414      21.9134 
    0.872993      21.7021 
    0.886216      24.2094 
    0.918321      23.4246 
    0.876407      23.8378 
    0.845153      23.4879 
    0.842546      23.5757 
       1.025      23.4975 
    0.845546      23.6496 
     0.82308      23.6265 
    0.980481      23.2505 
     0.84467      23.8539 
    0.892725      24.2737 
    0.853344      25.0655 
    0.975133      23.9226 
    0.940518      22.9055 
    0.885497      26.3392 
    0.851074      25.6076 
    0.810227      25.9871 
    0.958861      23.0527 
    0.968443      23.5632 
    0.954171      24.0291 
    0.878788      25.6685 
     0.88485      24.9219 
    0.900857       25.264 
    0.926897      27.0847 
    0.937841      24.2389 
    0.874824      26.2236 
    0.784827      26.8262 
    0.806534      24.7287 
     0.71288      27.2197 
    0.870474      26.3496 
    0.871496      26.6809 
    0.923462      24.9153 
    0.903084      27.4924 
    0.914783      26.0744 
    0.800987      30.4672 
    0.885785      26.8055 
    0.921188      26.4454 
     0.80398       29.568 
    0.796602      26.6657 
    0.921872      27.8682 
    0.878487      27.4704 
     0.84063      26.5618 
    0.824564       27.335 
    0.889308      27.6048 
    0.910814       27.462 
    0.862818        27.34 
    0.903901      26.2624 
    0.849177      27.8623 
    0.899302      27.8405 
     0.92154      28.8505 
    0.860785        28.68 
    0.778468       25.667 
    0.905314      28.7282 
    0.880263      27.5081 
    0.796501      27.0316 
    0.861311        26.93 
    0.835543      27.2339 
    0.849899       30.165 
    0.929568      29.3452 
    0.699468      28.6159 
    0.887027      29.9476 
     0.80955      29.7643 
    0.796623      28.6005 
    0.956543      29.6053 
    0.936416      29.0272 
    0.962714      26.9715 
    0.808028      29.3161 
    0.783319      29.3774 
    0.814635      27.1266 
    0.852614      30.4445 
    0.858562      28.9829 
    0.844988      30.3884 
    0.821459      29.4915 
    0.735334      29.1913 
    0.852638      28.6712 
    0.928211      30.3853 
    0.920792      28.5425 
    0.889362      28.3227 
    0.813227      29.5601 
    0.762556      27.4457 
    0.836164      28.0974 
    0.793259      30.8759 
    0.885661       30.022 
    0.666589      30.3018 
    0.797326      28.1896 
    0.827793      30.1863 
    0.850319      30.6544 
    0.848697      29.3851 
    0.874361      29.0107 
    0.952824      29.6801 
    0.874718      31.9639 
    0.892437      29.0421 
    0.737148      31.2975 
     0.73569      30.2295 
    0.786933      30.7369 
    0.903008      29.4391 
    0.779898      30.8307 
    0.717948      31.4898 
    0.791756      30.1855 
    0.792631      31.8417 
    0.814998      30.4624 
    0.852239      32.6294 
    0.906616      27.9862 
    0.882638      32.7973 
     0.77625      32.2239 
    0.892177      30.2041 
    0.893231      31.0321 
    0.889325      28.4662 
