#      Train        Test
    0.796631      12.2118 
    0.880551      11.9061 
    0.934831      13.6262 
    0.787685      12.7968 
    0.833319      12.2045 
    0.928474       13.694 
    0.872043      12.9987 
    0.857549      13.6341 
    0.871667      14.7049 
    0.892326      12.7769 
    0.879847      12.9687 
    0.816207      15.0943 
    0.878028      13.6717 
    0.842912      12.4013 
    0.880698      13.7676 
    0.792707      13.1156 
    0.892809      14.7376 
    0.880155      13.2387 
    0.864625      14.5569 
     0.87179      15.7119 
    0.834044      16.0811 
     0.87073      15.4729 
    0.716612      14.6198 
     0.79074      13.4352 
    0.839215      13.7901 
    0.859964      14.4959 
    0.810376      15.3772 
    0.779434      14.7123 
    0.804695      15.0436 
    0.826057      15.5922 
    0.780387      15.2686 
    0.829788      15.3389 
     0.81783      14.9895 
    0.789551      15.1319 
    0.867266      14.6505 
    0.750153      15.1725 
    0.794302      16.8314 
     0.81413      15.6419 
    0.750308      16.1423 
    0.912787      17.1105 
    0.840113      16.8401 
    0.785373      17.3802 
    0.813841      17.4661 
    0.928993      17.0139 
    0.861617      17.0439 
    0.815582      16.8379 
    0.895562      16.2619 
    0.859104      17.2386 
    0.872326      17.4167 
    0.913174      17.0791 
    0.812476      17.1151 
    0.813183      17.1338 
    0.796413      16.5352 
    0.872057      18.5454 
    0.878553      17.7308 
    0.780141      17.1184 
    0.846428      17.3279 
    0.790613      20.2361 
    0.791976      19.3439 
    0.824972      18.1592 
    0.792238       16.859 
    0.867923      19.4694 
    0.786924      18.9839 
    0.859444      19.6884 
    0.886701      18.9113 
    0.841899      18.2556 
    0.771178      17.8289 
    0.788081      18.3824 
     0.85021      18.3138 
    0.752431      20.0061 
     0.83892      18.5178 
    0.767202      18.4979 
    0.851041      18.2353 
    0.854059      18.2693 
    0.760031      17.6914 
    0.723706      19.9526 
    0.772982      20.8248 
    0.803977      19.8153 
    0.827877      20.0243 
    0.696872      19.3028 
    0.815628      18.9064 
    0.791134      19.7464 
    0.908417      20.5567 
    0.864186      19.6065 
    0.864612      19.6458 
     0.79719      21.8729 
    0.747677      20.2207 
    0.845853      19.4199 
    0.801309      20.9757 
    0.818847      19.9525 
    0.865743      20.6973 
    0.754424      20.6921 
     0.75915      20.4963 
    0.847408      21.0187 
    0.777623      22.2785 
    0.859664      21.2823 
     1.00361      22.3172 
    0.800367      22.5681 
    0.823552       23.753 
    0.810458       22.673 
    0.798476      21.9029 
    0.785532       20.686 
    0.744734      20.1927 
    0.815189      20.7232 
    0.814172      22.5228 
    0.714178      22.2922 
    0.771001       21.975 
    0.778267      21.2733 
    0.770947       23.859 
    0.860851      21.0494 
    0.795836      22.1205 
    0.836515      19.7035 
    0.792023      22.8403 
    0.753587      22.7349 
     0.77338      21.9451 
    0.762332      23.0455 
    0.806937      22.0354 
    0.780265      22.7455 
    0.777309      22.2287 
     0.75058      21.6655 
    0.760925      22.9029 
    0.682434      23.4821 
    0.762688      23.8827 
    0.740381       19.414 
    0.889034      22.2119 
    0.816835      23.3368 
     0.77898      25.0982 
    0.845378      24.4137 
    0.724771      24.9837 
    0.782731      23.1673 
    0.759647      23.2163 
    0.758725      25.3031 
    0.725113      23.5565 
    0.821595      23.2892 
    0.763929      24.2323 
    0.709638      25.2552 
    0.747799      23.7801 
    0.769738      23.1436 
    0.761495      23.4359 
    0.725704      24.8785 
    0.716863      26.1835 
    0.765331      25.3235 
    0.701038      25.5872 
    0.759974      24.2052 
    0.644085       26.444 
    0.739013      24.9618 
    0.802744      23.6241 
    0.739104       26.032 
    0.761682      24.1172 
    0.788719      23.6513 
    0.708287      23.0686 
    0.741781      25.9529 
    0.750935      25.0023 
    0.731995      24.3997 
    0.719639      25.2705 
    0.683496       22.647 
    0.717088      24.7215 
    0.688157      23.6753 
    0.657631      22.3393 
    0.751427      25.4317 
    0.713403      25.7839 
    0.722898      24.1649 
    0.788909      24.9646 
    0.774381      26.1217 
    0.727937      24.4479 
     0.79677      24.3815 
    0.638092      26.4159 
    0.825481      24.0783 
    0.685124      25.9342 
    0.726127      24.6944 
    0.706427      23.6701 
    0.741702      25.1737 
    0.706902      25.3361 
     0.83554      27.1312 
    0.686139      25.9408 
    0.700665      27.0938 
    0.657629      26.7936 
    0.617671      26.8904 
     0.73357      28.7531 
    0.657857      25.8239 
    0.714868      25.0976 
    0.661623      28.7089 
    0.758671      25.9389 
    0.763637      26.8765 
    0.692925      23.7511 
    0.653115      25.8046 
    0.673011      26.6325 
    0.695557      27.7883 
    0.787468      25.9731 
    0.612346      27.1119 
    0.734972      28.2832 
    0.744483      27.2069 
    0.599144      27.2622 
    0.645925      28.2387 
     0.71216      27.5524 
    0.707569      26.5704 
     0.68837      26.2088 
    0.641984       26.382 
    0.638711      27.3621 
    0.742029      29.1413 
     0.70682      28.1924 
    0.615419      28.8013 
    0.669248      26.8921 
    0.631274       26.419 
    0.708931      26.5601 
    0.646413      30.6308 
    0.609253      27.5315 
    0.691506      27.9192 
    0.675919      27.1985 
    0.612637      28.3768 
     0.59755      27.9627 
    0.650713      27.0096 
    0.668504      28.3787 
    0.585638      29.8737 
    0.655469      28.1484 
    0.674872      28.7516 
     0.70078      28.6451 
    0.739574      29.4369 
    0.706116        28.62 
    0.631444      29.8365 
    0.720978      26.9517 
    0.710192      28.8816 
    0.734112      26.8716 
    0.627782      27.3844 
    0.641175      29.1136 
     0.69468      27.8651 
    0.689432      27.1124 
    0.603517      29.2142 
    0.658103      28.6841 
     0.70942      29.0403 
    0.721936      27.6256 
    0.620135      28.4441 
    0.621761      28.9848 
    0.730981      27.1255 
     0.68744      26.7517 
    0.699706      27.7545 
    0.677123      27.8208 
    0.714562      28.5735 
    0.636382      26.8946 
    0.643971      29.7912 
    0.639002      27.6633 
    0.622016      30.7208 
    0.702679       27.545 
     0.63599      27.4109 
    0.718521      29.9514 
    0.593196      29.7743 
    0.682847      28.5764 
    0.724409      27.3359 
    0.740065      29.0651 
    0.732495      28.2901 
    0.659301      30.1587 
    0.652199      31.3589 
    0.613253      28.3339 
    0.599844      29.1508 
    0.714845      29.5007 
    0.666794      28.6982 
    0.642959      28.3515 
    0.620651      27.6662 
    0.640678      30.0009 
    0.669469      27.7396 
    0.619494      29.5078 
     0.66284      29.1402 
     0.68663      28.9951 
     0.57112      29.4683 
    0.704434      28.6376 
    0.720487      29.7813 
    0.656599      29.8807 
    0.626777      29.5926 
    0.655788      28.2052 
    0.587086      29.0438 
    0.665667      29.2769 
     0.65598      31.1869 
    0.692279      28.8682 
    0.706849      28.4644 
    0.608018      29.1642 
    0.639338      30.2469 
    0.604974      27.1119 
    0.630716       28.801 
    0.586212      30.2369 
        0.69      27.4331 
    0.602417      27.8258 
    0.633309       30.677 
    0.731506      30.6068 
    0.605265      30.1466 
     0.71495      28.1652 
    0.710082      31.1344 
     0.69559      30.4081 
    0.702895      29.3805 
    0.652637      31.4111 
    0.682166       29.555 
    0.680288      29.4835 
    0.637538      30.8738 
    0.675566      28.7735 
      0.6416      30.9716 
     0.62814      30.3341 
    0.753938      27.8427 
    0.642306      29.0892 
    0.577654      28.9098 
    0.661749      27.4041 
    0.649553      29.2158 
    0.637088      29.1848 
    0.558437      28.9767 
    0.539643      30.5059 
    0.652481      32.4063 
    0.684333      30.2765 
    0.666795       30.788 
    0.646506      27.2003 
    0.568943      29.9079 
    0.620648      30.6573 
    0.624966      31.2467 
    0.627781      29.3661 
