#      Train        Test
    0.983287     0.924242 
    0.991643     0.912879 
    0.982358     0.909091 
    0.983287     0.924242 
    0.986072     0.905303 
    0.982358     0.901515 
    0.982358     0.939394 
     0.98143     0.939394 
     0.98143      0.92803 
    0.978644     0.924242 
    0.984215     0.909091 
     0.98143     0.882576 
    0.986072      0.92803 
    0.979573     0.920455 
    0.984215     0.920455 
    0.983287     0.916667 
    0.982358     0.901515 
    0.988858      0.92803 
    0.975859     0.912879 
    0.985144     0.905303 
    0.979573     0.912879 
    0.982358     0.916667 
    0.979573     0.912879 
     0.98143     0.912879 
     0.98143     0.909091 
    0.978644     0.920455 
    0.974002     0.924242 
    0.978644     0.893939 
    0.982358     0.882576 
     0.98143     0.931818 
    0.987001     0.912879 
    0.987001     0.916667 
    0.975859     0.882576 
    0.987929     0.897727 
    0.982358     0.920455 
     0.97493     0.905303 
    0.979573     0.920455 
     0.98143     0.905303 
    0.984215     0.909091 
    0.977716     0.909091 
    0.985144     0.912879 
    0.982358     0.912879 
    0.987001     0.912879 
    0.986072     0.916667 
    0.984215     0.901515 
     0.97493     0.905303 
    0.980501     0.893939 
    0.980501     0.909091 
    0.979573     0.912879 
    0.980501     0.931818 
    0.985144     0.916667 
    0.984215     0.931818 
    0.983287     0.912879 
    0.977716     0.924242 
    0.980501     0.935606 
    0.975859      0.92803 
    0.985144     0.924242 
    0.980501      0.92803 
    0.976787      0.94697 
    0.988858     0.912879 
    0.984215      0.92803 
    0.979573      0.92803 
    0.983287     0.939394 
     0.98143     0.931818 
    0.979573      0.92803 
    0.980501     0.924242 
     0.98143     0.893939 
    0.987929     0.920455 
    0.986072     0.920455 
    0.984215     0.935606 
    0.977716     0.920455 
    0.982358     0.924242 
    0.977716     0.905303 
    0.971216     0.916667 
    0.980501     0.931818 
    0.975859     0.931818 
    0.990715     0.909091 
    0.984215     0.916667 
    0.982358     0.931818 
    0.984215     0.920455 
     0.97493     0.931818 
    0.980501     0.931818 
    0.978644     0.920455 
     0.97493     0.912879 
    0.980501     0.924242 
    0.979573     0.916667 
     0.97493     0.920455 
    0.983287      0.92803 
    0.982358     0.924242 
    0.982358     0.924242 
    0.985144      0.92803 
    0.979573     0.924242 
    0.984215     0.935606 
    0.980501      0.92803 
    0.979573      0.92803 
    0.980501      0.92803 
     0.98143     0.931818 
    0.984215     0.912879 
    0.987001     0.924242 
    0.980501     0.916667 
    0.978644     0.916667 
    0.984215     0.905303 
     0.98143     0.920455 
    0.976787     0.931818 
    0.990715     0.924242 
    0.990715      0.92803 
    0.975859     0.931818 
    0.977716     0.931818 
    0.973073     0.905303 
    0.978644     0.920455 
    0.985144     0.916667 
     0.98143     0.890152 
    0.977716     0.920455 
     0.98143     0.931818 
    0.976787      0.92803 
    0.987001     0.909091 
    0.975859     0.920455 
    0.983287     0.916667 
    0.978644     0.924242 
    0.977716     0.924242 
     0.97493     0.924242 
    0.979573     0.909091 
    0.976787     0.901515 
    0.982358     0.939394 
    0.976787     0.916667 
    0.985144     0.920455 
    0.987001     0.916667 
    0.985144     0.916667 
    0.978644     0.905303 
    0.978644     0.909091 
    0.978644     0.943182 
    0.986072     0.905303 
    0.980501     0.893939 
    0.982358     0.905303 
    0.983287     0.920455 
    0.979573     0.901515 
    0.978644     0.912879 
     0.98143     0.912879 
     0.98143     0.912879 
    0.984215     0.924242 
    0.983287     0.920455 
    0.988858     0.916667 
    0.977716     0.890152 
    0.982358     0.920455 
    0.983287     0.912879 
    0.973073     0.916667 
    0.977716     0.897727 
    0.980501     0.916667 
    0.987001     0.920455 
    0.983287      0.92803 
     0.97493     0.924242 
    0.979573     0.912879 
    0.980501     0.924242 
    0.980501     0.920455 
    0.977716     0.931818 
    0.984215     0.931818 
    0.977716     0.931818 
    0.984215     0.920455 
    0.988858     0.916667 
    0.983287     0.924242 
    0.976787     0.909091 
    0.986072      0.92803 
    0.985144     0.909091 
    0.979573      0.92803 
    0.980501     0.939394 
    0.978644     0.931818 
    0.985144     0.931818 
    0.987929     0.924242 
    0.978644     0.901515 
    0.983287      0.92803 
    0.984215     0.916667 
    0.983287     0.916667 
    0.973073     0.924242 
    0.982358     0.916667 
    0.972145     0.912879 
     0.97493     0.935606 
    0.987929     0.924242 
    0.985144     0.916667 
    0.979573      0.92803 
    0.979573     0.905303 
    0.977716      0.92803 
    0.980501     0.909091 
    0.982358     0.924242 
    0.980501      0.92803 
    0.986072     0.924242 
    0.987001     0.886364 
    0.984215     0.905303 
    0.977716     0.909091 
    0.980501     0.912879 
    0.976787     0.924242 
    0.987001     0.931818 
    0.978644     0.886364 
    0.978644     0.897727 
    0.984215     0.905303 
    0.984215     0.920455 
    0.983287     0.931818 
    0.983287     0.912879 
    0.976787     0.905303 
    0.979573     0.935606 
    0.983287     0.935606 
    0.978644      0.92803 
    0.975859     0.909091 
    0.980501     0.909091 
    0.980501      0.92803 
    0.984215     0.920455 
    0.983287     0.916667 
    0.980501     0.916667 
     0.98143     0.924242 
    0.982358     0.916667 
    0.980501     0.901515 
     0.97493     0.912879 
    0.983287     0.912879 
    0.973073     0.924242 
    0.973073     0.916667 
    0.977716      0.92803 
     0.97493     0.912879 
    0.979573     0.897727 
    0.982358     0.890152 
    0.970288     0.882576 
    0.978644     0.920455 
    0.971216      0.92803 
    0.974002      0.94697 
    0.978644     0.931818 
    0.974002     0.924242 
    0.986072     0.924242 
    0.983287     0.920455 
    0.979573     0.924242 
    0.976787     0.931818 
    0.987001     0.939394 
    0.985144     0.931818 
    0.977716     0.916667 
    0.979573     0.920455 
    0.983287     0.920455 
    0.975859      0.92803 
    0.980501     0.916667 
    0.982358     0.912879 
     0.98143     0.901515 
    0.985144     0.939394 
